ENA.Accession.Number,Isolate,Lane.accession,Sequecning Status,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS356929,11657_5#10,ERR434268,Previously sequenced,2010,S,S,S,,S,S,S,I,S,S,S,S
ERS356935,11657_5#11,ERR434269,Previously sequenced,2010,S,S,R,,R,S,S,I,S,S,R,R
ERS356938,11657_5#12,ERR434270,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS356941,11657_5#13,ERR434271,Previously sequenced,2010,S,S,R,,R,S,S,I,S,S,S,R
ERS356967,11657_5#14,ERR434272,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,R,S
ERS356984,11657_5#15,ERR434273,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS356995,11657_5#16,ERR434274,Previously sequenced,2011,S,S,R,,R,I,R,I,R,R,R,R
ERS357016,11657_5#17,ERR434275,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357017,11657_5#18,ERR434276,Previously sequenced,2011,S,S,S,,S,S,S,I,S,S,S,S
ERS357022,11657_5#19,ERR434277,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS356741,11657_5#1,ERR434259,Previously sequenced,2006,S,S,R,,R,S,S,I,S,S,R,R
ERS357031,11657_5#20,ERR434278,Previously sequenced,2010,S,S,R,,S,S,S,I,S,S,S,S
ERS357080,11657_5#21,ERR434279,Previously sequenced,2012,S,S,S,,S,S,S,I,S,S,S,S
ERS357117,11657_5#22,ERR434280,Previously sequenced,2012,S,S,S,,S,S,R,I,S,S,S,R
ERS357118,11657_5#23,ERR434281,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357141,11657_5#24,ERR434282,Previously sequenced,2012,R,R,R,,R,S,R,R,R,R,R,R
ERS357184,11657_5#25,ERR434283,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357187,11657_5#26,ERR434284,Previously sequenced,2001,S,,,S,S,S,R,,S,,,S
ERS357200,11657_5#27,ERR434285,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357205,11657_5#28,ERR434286,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,S,S
ERS357221,11657_5#29,ERR434287,Previously sequenced,2001,S,,,R,S,S,S,,R,,,S
ERS356749,11657_5#2,ERR434260,Previously sequenced,2007,S,S,R,,S,S,S,S,S,S,R,S
ERS357222,11657_5#30,ERR434288,Previously sequenced,2001,S,,,R,R,S,S,,S,,,S
ERS357244,11657_5#31,ERR434289,Previously sequenced,2002,S,S,,R,S,I,R,,S,,,S
ERS357247,11657_5#32,ERR434290,Previously sequenced,2002,S,S,,R,S,S,S,,R,,,R
ERS357250,11657_5#33,ERR434291,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357256,11657_5#34,ERR434292,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,R
ERS357258,11657_5#35,ERR434293,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357276,11657_5#36,ERR434294,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357277,11657_5#37,ERR434295,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357285,11657_5#38,ERR434296,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357377,11657_5#39,ERR434297,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS356755,11657_5#3,ERR434261,Previously sequenced,2007,S,S,R,,R,S,R,I,S,S,R,S
ERS357380,11657_5#40,ERR434298,Previously sequenced,2003,R,R,,R,R,R,R,,R,,,R
ERS357381,11657_5#41,ERR434299,Previously sequenced,2003,S,S,,S,S,S,R,,S,,,S
ERS357387,11657_5#42,ERR434300,Previously sequenced,2003,S,S,,R,R,R,S,,S,,,S
ERS357400,11657_5#43,ERR434301,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357424,11657_5#44,ERR434302,Previously sequenced,2004,S,S,,R,R,S,S,,S,,,S
ERS357519,11657_5#46,ERR434304,Previously sequenced,2004,R,R,,R,R,S,R,,S,,,R
ERS357550,11657_5#47,ERR434305,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357568,11657_5#48,ERR434306,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357591,11657_5#49,ERR434307,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS356771,11657_5#4,ERR434262,Previously sequenced,2007,S,S,S,,S,,S,S,S,S,S,S
ERS357611,11657_5#50,ERR434308,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357624,11657_5#51,ERR434309,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357627,11657_5#52,ERR434310,Previously sequenced,2005,R,R,,R,R,S,R,,R,,,R
ERS357642,11657_5#53,ERR434311,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357660,11657_5#54,ERR434312,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357675,11657_5#55,ERR434313,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,S
ERS357681,11657_5#56,ERR434314,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357685,11657_5#57,ERR434315,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,R
